ID,Name,Latitude,Longitude,Glottocode,Name_and_ID_in_source,xd_id,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_ID,origLat,origLong,comment,glottocode_comment,region
WNAI126,Agaiduka,45,-113.8,nort2955,Agaiduka Shoshone (J126),xd1182,Agaiduka; Salmon-Eater Shoshoni; Lemhi River Shoshoni; Agaiduku (Lemhi) Shoshone,,,,45,113.8,Original,,Northwestern U.S.A.
WNAI127,Hukundika,41.7,-112,nort2955,Hukundika Shoshone (J127),xd1185,Seed-Eaters; Northern Shoshoni; Hukunduka; Hukuniduica; Hukundika Shoshone; Promontory Shoshone,,,,41.7,112,Original,,Southwestern U.S.A.
WNAI128,Wind River Eastern Shoshone,43,-109,nort2955,Wind River Shoshone (J128),xd1201,Wind River; Eastern Shoshoni; Kucundika; Buffalo Hunters; Buffalo-Eater; Wind River Shoshone,,,,43,109,Original,,Northwestern U.S.A.
WNAI129,Uintah Ute,40,-111,utee1244,Uintah Ute (J129),xd1194,Tompanowots; Yampa,,,,40,111,Original,,Southwestern U.S.A.
WNAI130,Uncompahgre Ute,38,-108,utee1244,Uncompaghre Ute (J130),xd1199,Mowataviwatsiu,,,,38,108,Original,,Northwestern U.S.A.
WNAI131,Southern Ute,38,-109,utee1244,Wimonuch Ute (Shoshonean) (J131),xd1152,Wimonuch Utes; Ute Mountain Ute; Wimonutsi; Navajo Springs; Wimonuntci; Weminute; Wimonantci Ute,,Ute (NT19),NT19,38,109,Original,,Northwestern U.S.A.
WNAI132,Shivwits,36.8,-114,sout2969,Shivwits Southern Paiute (J132),xd1188,Shivwits; Suwuntsu (St. George); Suwuntsu; St. George; Gunlock; Uinkaret; Southern Paiute,,,,36.8,114,Original,,Southwestern U.S.A.
WNAI133,Southern Paiute (Kaibab and Las Vegas),36.5,-112,sout2969,Kaibab Southern Paiute (J133),xd1189,Kaivavwits; Southern Paiute; Southern Paiute; Kaibab Southern Paiute,,,,36.5,112,Original,,Southwestern U.S.A.
WNAI134,San Juan,37,-110,sout2969,San Juan Southern Paiute (J134),xd1192,San Juan; Kwaanitikwokets,,,,37,110,Original,,Southwestern U.S.A.
WNAI135,Chemehuevi,34.3,-116,chem1251,Chemehuevi Southern Paiute (J135),xd1190,Chemehuevi; Colorado River Reservation,,Southern (NT16),NT16,34.3,116,Original,,Southwestern U.S.A.
WNAI136,Havasupai,36.2,-112.8,hava1249,Havasupai (J136),xd1163,Plateau Yuma,,Plateau Yumans (NT14),NT14,36.2,112.8,Original,,Southwestern U.S.A.
WNAI137,Hualapai,35.3,-114,wala1270,Walapai (J137),xd1202,Walapai,,,,35.3,114,Original,,Southwestern U.S.A.
WNAI138,Yavapai (Northeast),34.6,-112.2,yava1252,Northeast Yavapai (J138),xd1203,Apache-Mojave; Northeast Yavapai,,,,34.6,112.2,Original,,Southwestern U.S.A.
WNAI139,Yavapai (Southeast),33.7,-111.5,yava1252,Southeast Yavapai (J139),xd1203,Apache-Mojave; Southeast Yavapai,,,,33.7,111.5,Original,,Southwestern U.S.A.
WNAI140,Mojave,34.5,-114.5,moha1256,Mohave (J140),xd1272,Mohave,,Mohave (NT28),NT28,34.5,114.5,Original,,Southwestern U.S.A.
WNAI141,Quechan,32.7,-114.5,quec1382,Yuma (J141),xd1273,Yuma,,,,32.7,114.5,Original,,Southwestern U.S.A.
WNAI142,Kamia,32.5,-115,kumi1248,Kamia (J142),xd1271,,,,,32.5,115,Original,"Note, previously kimi1238 but changed by non-KK DPLACE editor in early 2016 (before 8April2016)",Mexico
WNAI143,Cocopa,32,-115,coco1261,Cocopa (J143),xd1269,Cocopah,,,,32,115,Original,,Mexico
WNAI144,Maricopa,33.3,-112.5,mari1440,Maricopa (J144),xd1281,Piipash,,River (NT15),NT15,33.3,112.5,Original,,Southwestern U.S.A.
WNAI145,Pima,33.2,-112,akim1239,Pima (J145),xd1291,Akimel O'Odham,,,,33.2,112,Original,,Southwestern U.S.A.
WNAI146,Tohono O'odham,32,-112,toho1246,Papago (J146),xd1287,Papago,,O'Odham (NU79),NU79,32,112,Original,,Southwestern U.S.A.
WNAI147,Western Apache (North Tonto),35,-111.8,west2615,North Tonto Western Apache (J147),xd1267,Ndee; Western Apache; North Tonto Western Apache,,Western (NT21),NT21,35,111.8,Original,,Southwestern U.S.A.
WNAI148,Western Apache (South Tonto),34,-111.2,west2615,South Tonto Western Apache (J148),xd1267,Ndee; Western Apache; South Tonto Western Apache,,Western (NT21),NT21,34,111.2,Original,,Southwestern U.S.A.
WNAI149,Western Apache (San Carlos),33.5,-110.8,west2615,San Carlos Western Apache (J149),xd1267,Ndee; Western Apache; San Carlos Western Apache,,Western (NT21),NT21,33.5,110.8,Original,,Southwestern U.S.A.
WNAI150,Western Apache (Cibecue),34.6,-110.6,west2615,Cibecue Western Apache (J150),xd1267,Ndee; Western Apache; Cibecue Western Apache,,Western (NT21),NT21,34.6,110.6,Original,,Southwestern U.S.A.
WNAI151,Western Apache (White Mountain),33.8,-110,west2615,White Mountain Western Apache (J151),xd1267,Ndee; Western Apache; White Mountain Western Apache,,Western (NT21),NT21,33.8,110,Original,,Southwestern U.S.A.
WNAI152,Chiricahua (Warm Springs),33,-108,mesc1238,Warm Springs Chiricahua Apache (J152),xd1259,Chiricahua Apache; Eastern Apache; Warm Springs Chiricahua Apache,,Eastern Apache (NT08),NT08,33,108,Original,,South-Central U.S.A.
WNAI153,Chiricahua (Huachuca),31.8,-110,mesc1238,Huachuca Chiricahua Apache (J153),xd1259,Chiricahua Apache; Eastern Apache; Huachuca Chiricahua Apache,,Eastern Apache (NT08),NT08,31.8,110,Original,,Southwestern U.S.A.
WNAI154,Mescalero,32.5,-105,mesc1238,Mescalero Apache (J154),xd1265,Mescalero Apache,,,,32.5,105,Original,,South-Central U.S.A.
WNAI155,Lipan Apache,30,-104,lipa1241,Lipan Apache (J155),xd1275,Lipan,,,,30,104,Original,,South-Central U.S.A.
WNAI156,Jicarilla,37,-105.5,jica1244,Jicarilla Apache (J156),xd1266,Jicarilla Apache,,Jicarilla (NT26),NT26,37,105.5,Original,,Northwestern U.S.A.
WNAI157,Navajo (Western),36,-112,nava1243,Western Navaho (J157),xd1279,Diné Bizaad; Navaho; Western Navaho,,Navaho (NT13),NT13,36,112,Original,,Southwestern U.S.A.
WNAI158,Navajo (Eastern),35.5,-108.7,nava1243,Eastern Navaho (J158),xd1279,Diné Bizaad; Navaho; Eastern Navaho,,Navaho (NT13),NT13,35.5,108.7,Original,,South-Central U.S.A.
WNAI159,Hopi,36,-110.5,hopi1249,Hopi (J159),xd1268,Hopi of Old Oraiibi,,Hopi (NT09),NT09,36,110.5,Original,,Southwestern U.S.A.
WNAI160,Zuni,35.2,-108.9,zuni1245,Zuni (J160),xd1280,,,Zuni (NT23),NT23,35.2,108.9,Original,,South-Central U.S.A.
